,channel,position,unit
969,1,2076,[40]
970,1,2123,[24]
971,1,2193,[16]
972,1,2214,[26]
973,1,2276,[24]
974,1,2369,[47]
975,1,2404,[1]
976,1,2465,[44]
977,1,2476,[5]
978,1,2532,[28]
979,1,2549,[41]
980,1,2666,[39]
981,1,2692,[19]
982,1,2721,[7]
983,1,2807,[17]
984,1,2858,[42]
985,1,2972,[7]
986,1,3033,[11]
987,1,3059,[23]
988,1,3215,[23]
989,1,3318,[26]
990,1,3421,[29]
991,1,3483,[0]
992,1,3554,[21]
993,1,3739,[21]
994,1,3787,[44]
995,1,3827,[27]
996,1,3861,[2]
997,1,3892,[34]
998,1,4013,[9]
999,1,4119,[40]
1000,1,4161,[23]
1001,1,4275,[14]
1002,1,4308,[46]
1003,1,4388,[8]
1004,1,4439,[4]
1005,1,4452,[2]
1006,1,4517,[47]
1007,1,4637,[7]
1008,1,4677,[21]
1009,1,4765,[35]
1010,1,4816,[27]
1011,1,4995,[45]
1012,1,5343,[3]
1013,1,5370,[42]
1014,1,5416,[22]
1015,1,5473,[4]
1016,1,5519,[8]
1017,1,5611,[4]
1018,1,5628,[18]
1019,1,5664,[34]
1020,1,5774,[27]
1021,1,5909,[37]
1022,1,5966,[44]
1023,1,6017,[31]
1024,1,6169,[32]
1025,1,6191,[47]
1026,1,6275,[0]
1027,1,6396,[46]
1028,1,6516,[10]
1029,1,6648,[28]
1030,1,6667,[19]
1031,1,6693,[27]
1032,1,6740,[4]
1033,1,6771,[27]
1034,1,6872,[31]
1035,1,6914,[27]
1036,1,7011,[27]
1037,1,7049,[33]
1038,1,7189,[47]
1039,1,7418,[40]
1040,1,7470,[6]
1041,1,7575,[43]
1042,1,7633,[43]
1043,1,7716,[5]
1044,1,7821,[34]
1045,1,7867,[22]
1046,1,7948,[27]
1047,1,7978,[7]
1048,1,8211,[27]
1049,1,8279,[11]
1050,1,8301,[11]
1051,1,8327,[37]
1052,1,8372,[40]
1053,1,8465,[38]
1054,1,8494,[46]
1055,1,8627,[6]
1056,1,8675,[21]
1057,1,8757,[48]
1058,1,8814,[36]
1059,1,8871,[25]
1060,1,8951,[19]
1061,1,9262,[36]
