,channel,position,unit
768,0,57878,[30]
769,0,57976,[34]
770,0,58013,[32]
771,0,58027,[30]
772,0,58058,[34]
773,0,58105,[32]
774,0,58118,[48]
775,0,58250,[22]
776,0,58267,[22]
777,0,58372,[39]
778,0,58399,[22]
779,0,58450,[8]
780,0,58516,[14]
781,0,58532,[18]
782,0,58579,[30]
783,0,58642,[16]
784,0,58660,[28]
785,0,58676,[13]
786,0,58793,[46]
787,0,58841,[35]
788,0,58867,[19]
789,0,58896,[37]
790,0,58973,[21]
791,0,59021,[20]
792,0,59154,[9]
793,0,59185,[5]
794,0,59279,[44]
795,0,59291,[43]
796,0,59376,[32]
797,0,59505,[44]
798,0,59516,[6]
799,0,59536,[9]
800,0,59622,[11]
801,0,59643,[20]
802,0,59669,[37]
803,0,59750,[15]
804,0,59772,[6]
805,0,59797,[42]
806,0,59861,[17]
807,0,59936,[1]
808,0,60034,[16]
809,0,60055,[6]
810,0,60116,[1]
811,1,4094,[8]
812,1,4220,[32]
813,1,4767,[8]
814,1,5904,[1]
815,1,6444,[43]
816,1,6581,[1]
817,1,6773,[37]
818,1,7054,[17]
819,1,7070,[43]
820,1,7986,[22]
821,1,8109,[1]
822,1,8591,[30]
823,1,8694,[37]
824,1,8852,[22]
825,1,8998,[37]
826,1,9201,[43]
827,1,9389,[22]
828,1,9452,[25]
829,1,9636,[22]
830,1,9749,[1]
831,1,9828,[6]
832,1,9908,[8]
833,1,9993,[22]
834,1,10102,[43]
835,1,10304,[21]
836,1,10585,[4]
837,1,10616,[22]
838,1,11296,[1]
839,1,11371,[32]
840,1,11388,[43]
841,1,11467,[8]
842,1,11572,[20]
843,1,11928,[20]
844,1,12032,[22]
845,1,12379,[42]
846,1,12492,[22]
847,1,12628,[8]
848,1,12812,[22]
849,1,12911,[42]
850,1,13073,[15]
851,1,13177,[8]
852,1,13375,[15]
853,1,13404,[37]
854,1,13715,[1]
855,1,13898,[1]
856,1,13912,[43]
857,1,14034,[11]
858,1,14058,[37]
859,1,14333,[43]
860,1,14499,[8]
861,1,14674,[17]
862,1,14708,[43]
863,1,14800,[44]
864,1,14841,[37]
865,1,14921,[8]
866,1,14985,[20]
867,1,15058,[6]
868,1,15154,[44]
869,1,15188,[20]
870,1,15399,[33]
871,1,15477,[17]
872,1,15488,[18]
873,1,15603,[30]
874,1,15733,[6]
875,1,15843,[43]
876,1,15933,[37]
877,1,15963,[12]
878,1,16109,[2]
879,1,16196,[2]
880,1,16243,[30]
881,1,16335,[18]
882,1,16452,[44]
883,1,16504,[1]
884,1,16569,[18]
885,1,16605,[2]
886,1,16776,[20]
887,1,16802,[37]
888,1,16850,[8]
889,1,16900,[12]
890,1,16936,[44]
891,1,17168,[22]
892,1,17299,[44]
893,1,17311,[18]
894,1,17408,[2]
895,1,17583,[15]
896,1,17711,[9]
897,1,17751,[8]
898,1,17823,[17]
899,1,17838,[48]
900,1,18091,[21]
901,1,18125,[47]
902,1,18177,[1]
903,1,18295,[8]
904,1,18393,[30]
905,1,18471,[21]
906,1,18522,[2]
907,1,18757,[21]
908,1,18802,[1]
909,1,18877,[4]
910,1,18890,[25]
911,1,18989,[9]
912,1,19031,[18]
913,1,19149,[17]
914,1,19243,[17]
915,1,19255,[29]
916,1,19327,[1]
917,1,19392,[14]
918,1,19412,[20]
919,1,19531,[2]
920,1,19601,[34]
921,1,19642,[17]
922,1,19685,[1]
923,1,19701,[43]
924,1,19785,[14]
925,1,19840,[9]
926,1,19925,[5]
927,1,19959,[17]
928,1,19974,[8]
929,1,20139,[37]
930,1,20169,[45]
931,1,20217,[4]
932,1,20282,[21]
933,1,20307,[22]
934,1,20514,[17]
935,1,20548,[43]
936,1,20744,[15]
937,1,20813,[33]
938,1,20848,[21]
939,1,21040,[20]
940,1,21066,[37]
941,1,21271,[8]
942,1,21301,[22]
943,1,21407,[6]
944,1,21432,[22]
945,1,21466,[9]
946,1,21522,[21]
947,1,21622,[9]
948,1,21654,[42]
949,1,21710,[32]
950,1,21786,[20]
951,1,21847,[1]
